,label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
64,odroid3,961.9,759.9,40.1,64.1,229.8,168.3,169.5
65,rpi-8d,67.8,132.7,110.2,281.1,68.0,166.8,24.7
66,odroid2,233.7,165.7,12.2,124.9,1.0,1.0,109.2
67,rpi-4a,249.1,140.7,96.9,153.7,54.5,238.8,75.9
68,rpi-8c,427.4,562.0,58.2,211.5,340.3,254.9,618.9
69,odroid3,98.1,104.5,282.0,173.6,116.2,226.8,194.4
70,rpi-8b,229.6,296.5,143.9,181.0,202.5,464.2,380.5
71,odroid2,35.3,178.1,128.1,139.9,1.0,171.6,192.5
72,rpi-8a,104.9,1.5,57.5,210.3,7.8,27.0,76.9
73,rpi-8d,2.0,1.5,69.4,176.4,264.6,19.7,15.8
74,rpi-8d,469.5,188.4,323.5,222.6,408.7,17.7,236.5
75,odroid1,2.0,1.5,447.1,507.5,33.1,157.9,32.7
76,rpi-8c,41.7,216.0,166.5,173.0,389.5,137.4,460.9
77,rpi-4a,124.8,21.5,1585.8,104.3,23.4,171.3,2.0
78,odroid2,160.8,231.2,0.0,256.2,1.0,1.0,89.2
79,rpi-8b,191.3,265.0,4.5,785.1,228.1,223.3,34.3
80,rpi-8d,189.4,189.8,129.2,309.1,188.2,159.6,23.5
81,rpi-8b,164.1,105.4,147.4,434.5,54.7,87.4,165.7
82,odroid3,2.0,23.5,261.0,61.2,1.0,14.5,2.0
83,rpi-8a,113.8,62.4,478.4,215.5,162.9,179.7,439.3
84,odroid4,171.6,86.8,120.5,294.6,187.6,368.5,84.3
85,rpi-8a,47.6,77.7,305.8,248.3,27.3,48.1,193.5
86,odroid2,143.8,51.8,287.8,318.4,774.3,221.6,141.3
87,rpi-8a,177.6,294.9,283.2,258.9,66.1,788.5,217.3
88,rpi-4a,191.6,163.2,0.0,30.2,390.4,137.6,223.4
89,odroid3,25.9,52.0,425.5,2.1,191.6,1.0,150.1
90,rpi-8d,49.9,236.3,502.0,161.3,280.3,76.7,20.6
91,odroid1,36.0,1.5,300.8,2.1,175.1,155.6,148.6
92,odroid3,2.0,202.9,967.7,11.2,44.8,203.5,186.4
93,odroid1,2.0,1.5,343.5,161.5,21.5,213.6,199.5
94,odroid4,1027.1,209.1,164.5,196.1,173.0,220.2,174.2
95,odroid2,12.4,14.0,34.1,224.3,1.0,1.0,2.0
96,rpi-4a,59.7,613.6,337.8,228.5,1.0,56.4,22.1
97,odroid3,119.2,231.7,29.4,9.6,172.9,18.9,451.5
98,odroid3,112.4,561.3,23.2,278.3,14.5,236.0,156.2
99,rpi-8c,233.0,185.4,116.1,131.1,246.0,231.8,48.3
100,rpi-8d,20.3,135.4,617.1,207.3,51.8,389.7,2.0
101,rpi-4a,127.1,1.5,846.8,9.0,1.0,152.2,80.1
102,odroid4,249.0,635.1,192.9,2.1,418.8,153.2,462.0
103,rpi-8b,272.0,197.8,50.4,132.2,557.7,220.8,162.4
104,rpi-8a,200.4,67.5,1134.3,172.3,150.4,183.7,24.1
105,odroid4,147.1,299.8,37.6,62.5,1.0,215.9,209.7
106,odroid2,2.0,52.1,0.0,221.5,6.5,19.4,61.1
107,odroid4,127.0,216.0,175.0,202.2,24.9,2.7,235.6
108,odroid2,49.3,149.1,84.5,2.1,64.1,13.0,107.2
109,rpi-8d,162.2,26.9,1139.9,2.1,103.4,100.4,61.9
110,rpi-8c,210.8,215.1,354.3,4.3,46.0,202.8,412.5
111,rpi-8a,2.0,165.8,0.0,74.8,208.4,60.3,245.6
112,odroid2,34.4,1.5,1186.3,43.0,1.0,6.3,126.7
113,odroid1,136.7,175.0,184.6,251.6,185.9,208.6,64.8
114,rpi-8c,2.0,54.7,169.5,2.1,122.7,153.4,160.7
115,rpi-8a,248.3,153.0,160.5,175.1,977.9,286.1,643.7
116,rpi-8d,29.3,143.5,669.1,278.4,1.0,215.7,105.7
117,rpi-4a,117.9,103.2,0.0,319.7,97.2,144.3,29.8
118,rpi-8d,2.0,219.8,109.5,347.2,160.8,174.2,120.0
119,odroid4,2.0,82.0,76.8,1317.3,141.8,39.0,167.3
120,odroid3,142.9,162.4,205.4,1333.8,198.0,73.4,176.5
121,odroid4,140.5,44.7,130.8,202.5,8.0,164.0,97.0
122,rpi-8c,178.3,61.6,253.1,46.5,1146.0,1.0,160.3
123,odroid3,149.3,166.4,289.5,301.6,127.4,189.9,204.0
124,odroid3,145.5,170.1,49.7,340.1,47.3,1.0,209.6
125,rpi-4a,20.1,71.8,189.0,158.8,135.9,184.0,30.8
126,odroid4,230.1,426.6,235.7,2.1,291.9,162.8,192.7
127,odroid4,692.4,188.5,0.0,225.3,211.8,190.6,232.6
128,odroid1,74.2,417.0,0.0,194.3,145.4,163.6,6.4
129,rpi-8d,138.7,113.4,138.0,250.5,146.8,40.7,122.6
130,rpi-8a,234.8,66.1,283.1,2.1,206.6,226.4,33.0
131,odroid1,1248.1,93.1,0.0,148.2,159.5,159.4,11.8
132,odroid2,165.1,261.4,46.1,382.4,1.0,22.0,435.1
133,rpi-8c,117.5,182.8,12.6,18.6,42.9,219.7,91.8
134,rpi-4a,2.0,135.7,219.5,232.7,166.2,172.0,214.7
135,odroid2,276.4,279.0,105.1,114.4,284.4,86.1,158.6
136,odroid4,244.9,677.2,0.0,214.4,488.8,135.8,123.3
137,rpi-8d,2.0,215.9,877.6,45.5,1.0,1.0,28.3
138,rpi-4a,144.3,31.7,1054.9,430.2,231.5,179.8,172.7
139,rpi-4a,204.3,143.0,189.3,2.1,138.4,73.1,132.6
140,odroid3,176.4,223.4,211.4,164.9,463.5,9.2,188.1
141,odroid1,289.8,1638.5,0.0,134.8,295.9,169.5,60.3
142,odroid4,196.0,137.8,260.7,108.2,180.7,188.1,34.7
143,rpi-8b,44.3,251.3,6.3,91.5,300.0,232.2,163.9
144,rpi-8c,62.4,12.8,179.1,2.1,218.4,1.0,64.6
145,rpi-8d,11.0,158.2,210.3,986.5,1.0,148.5,49.2
146,odroid1,22.2,3.7,515.9,170.5,129.6,159.1,107.6
147,rpi-8d,14.4,157.1,99.3,122.8,184.6,44.3,116.8
148,odroid4,2.0,101.3,146.5,215.4,1.0,56.3,150.0
149,rpi-8b,161.2,198.4,24.0,2.1,282.9,221.9,240.1
150,odroid4,260.8,76.0,302.6,118.3,212.1,1.0,122.6
151,rpi-8b,788.6,314.6,0.0,174.6,329.9,403.1,209.2
152,odroid2,2.0,60.5,0.0,1682.8,205.9,41.1,94.5
153,rpi-4a,2.0,25.2,1534.4,159.3,234.5,73.4,59.1
154,rpi-4a,165.1,178.3,69.6,2.1,176.0,167.6,198.0
155,rpi-8c,226.3,256.6,1742.1,2.1,148.3,214.3,6.3
156,rpi-8c,137.3,887.3,41.0,2.1,476.9,176.5,207.1
157,odroid4,218.4,187.0,177.9,174.9,22.8,136.4,75.2
158,odroid4,189.0,204.9,37.1,181.6,152.4,224.1,47.1
159,odroid1,2.0,176.4,100.3,123.9,1.0,1.0,29.7
160,odroid2,187.4,100.2,186.8,24.5,1.0,3.1,29.9
161,rpi-8a,143.9,232.0,365.9,92.7,148.5,24.5,271.0
162,odroid3,119.4,55.1,90.5,236.1,135.2,149.0,186.5
163,odroid1,53.8,155.6,155.7,116.7,3.6,102.6,46.8
164,rpi-8c,97.9,54.3,148.9,142.6,1.0,96.6,83.8
165,odroid3,185.8,302.5,167.5,269.3,209.2,354.7,257.3
166,odroid3,2.0,1.5,1182.1,1023.5,1.0,14.1,94.7
167,odroid1,39.4,67.2,201.1,215.3,40.4,1.0,2.0
168,odroid1,31.0,85.3,258.0,169.3,1.0,42.8,38.0
169,odroid3,101.4,216.0,152.0,50.3,181.5,131.4,146.0
170,rpi-8a,35.9,43.7,287.5,638.3,1.0,346.0,25.5
171,odroid1,213.5,224.9,298.4,626.1,1.0,1.0,2.0
172,rpi-8b,29.6,1.5,268.2,77.3,242.9,111.4,73.6
173,odroid2,234.2,205.0,528.6,2.1,184.6,231.0,21.3
174,odroid2,2.0,1.5,941.9,274.6,177.2,185.2,74.0
175,rpi-8c,147.8,53.1,1175.9,154.5,217.4,125.5,37.8
176,odroid1,339.3,111.1,105.4,181.1,12.0,370.8,181.6
177,odroid4,91.8,2062.8,191.2,56.7,53.3,223.4,417.3
178,odroid4,2.0,208.1,110.9,307.5,11.0,380.3,40.9
179,rpi-8d,273.8,64.0,274.1,526.1,1.0,156.9,29.4
180,rpi-8d,262.3,1192.9,33.5,116.4,71.2,96.9,484.5
181,rpi-8a,89.7,50.5,506.0,224.4,139.7,47.1,18.7
182,rpi-4a,67.3,202.9,0.0,18.0,243.5,162.8,238.1
183,rpi-8a,45.4,116.5,1088.8,733.5,195.7,6.6,15.6
184,rpi-8b,6.1,31.5,169.0,207.0,231.4,150.7,170.8
185,odroid4,2239.3,120.3,20.4,358.0,222.4,54.9,22.6
186,odroid2,217.9,249.6,134.9,263.3,263.5,23.9,182.5
187,rpi-8b,172.7,104.8,437.4,237.7,1806.9,252.2,244.1
188,rpi-4a,2.0,91.6,0.0,1138.3,24.9,27.8,24.6
189,rpi-4a,2.0,174.9,358.0,32.0,64.5,187.5,2.0
190,odroid3,27.1,210.2,80.1,2.1,283.3,4.1,155.0
191,odroid4,37.3,101.4,949.4,244.9,161.4,146.2,83.0
192,odroid4,82.6,29.4,53.8,189.8,472.5,76.1,186.2
193,rpi-8b,180.7,148.7,87.8,267.3,159.1,15.6,50.4
194,rpi-4a,196.7,181.1,176.2,2.1,1.0,16.6,196.2
195,odroid2,2.0,118.9,892.6,139.7,48.5,1.0,66.2
196,rpi-4a,211.2,389.4,0.0,164.4,119.3,165.4,161.2
197,rpi-4a,86.0,1374.3,53.6,2.1,108.8,431.2,30.5
198,rpi-8d,2.0,51.2,112.8,220.3,1.9,256.7,2.0
199,rpi-8b,42.7,1.5,542.6,865.9,7.2,92.0,158.7
200,odroid2,161.4,42.0,1085.2,157.4,123.5,7.0,2.0
201,rpi-8c,89.5,1.5,284.3,271.3,1.0,183.5,78.3
202,odroid1,6.7,12.6,163.8,217.3,132.2,141.8,127.8
203,rpi-4a,266.1,65.5,444.6,673.5,1.0,167.0,150.7
204,rpi-8b,84.3,408.7,241.4,26.7,133.0,175.7,159.4
205,odroid1,68.3,207.6,445.9,36.9,130.9,166.5,76.3
206,odroid2,191.0,201.3,54.2,135.2,193.4,132.5,196.1
207,odroid4,2.0,348.2,88.9,134.0,3.0,1.0,179.0
208,odroid3,1252.1,245.7,102.0,42.7,47.8,50.7,190.4
209,rpi-8c,239.0,93.7,50.8,210.7,241.9,103.1,149.4
210,odroid3,264.6,1.5,257.4,50.4,204.0,29.0,2.0
211,odroid4,666.9,139.6,259.5,220.5,1.0,140.6,189.4
212,rpi-8b,182.5,232.4,132.8,225.5,140.5,159.1,92.2
213,rpi-8c,98.7,1.5,261.9,95.7,236.5,159.0,2.0
214,rpi-8c,163.0,20.5,401.0,308.3,1.0,111.6,149.4
215,odroid4,46.1,273.2,67.2,2.1,9.2,136.7,71.7
216,rpi-4a,2.0,291.1,511.8,72.1,32.6,5.8,2.0
217,rpi-8a,2.0,27.9,192.6,39.6,33.4,117.4,42.2
218,rpi-8d,97.2,31.9,11.4,246.8,218.9,34.1,173.9
219,rpi-8b,229.7,189.0,232.5,125.4,2227.1,183.5,406.5
220,rpi-8a,66.3,122.3,110.5,292.3,4.8,33.2,143.2
221,odroid4,175.0,173.2,942.6,171.7,37.5,227.3,161.9
222,rpi-8a,36.4,1.5,144.6,123.1,241.3,1.0,2.0
223,odroid3,148.5,163.6,183.5,198.4,139.6,191.2,114.7
224,rpi-4a,250.8,142.2,0.0,234.3,1.0,1.0,101.2
225,rpi-8a,1035.2,215.1,964.1,2.1,21.6,34.1,105.7
226,odroid1,164.5,123.9,148.3,135.7,120.7,120.2,137.7
227,rpi-8a,283.4,1.5,112.8,154.1,230.6,96.1,184.2
228,rpi-8a,91.2,13.0,132.3,167.1,169.9,221.9,123.3
229,odroid1,51.9,167.0,93.9,170.1,1.0,1.0,2.0
230,rpi-4a,136.1,416.7,52.1,179.9,1.0,196.6,7.6
231,odroid2,153.1,33.7,178.4,131.8,1.0,3.6,116.9
232,odroid1,135.5,2.2,227.4,2.1,169.2,164.3,232.9
233,rpi-8c,146.0,65.8,188.6,230.1,189.7,313.1,171.8
234,rpi-8b,71.2,198.1,0.0,117.9,232.7,217.7,122.1
235,odroid3,115.9,126.6,1071.1,852.4,1.0,234.7,134.8
236,odroid2,123.0,1376.1,204.0,175.7,134.1,139.2,140.0
237,rpi-8d,158.4,185.1,156.3,41.1,46.7,190.2,141.5
238,odroid1,161.2,1.5,213.0,276.3,1.0,198.4,28.1
239,rpi-8b,24.9,16.3,283.8,245.8,147.3,42.7,215.7
240,odroid4,96.4,265.4,132.9,148.8,1.0,163.4,145.1
241,rpi-8d,155.2,148.8,1477.5,608.5,224.7,437.0,413.1
242,rpi-8b,249.3,393.5,151.2,207.3,109.4,148.7,207.5
243,odroid1,158.3,137.7,147.2,229.8,143.6,122.1,98.8
244,odroid3,20.7,1.5,1366.3,371.6,13.0,1.0,21.4
245,odroid4,77.0,168.2,343.0,2.1,203.7,121.6,4.1
246,odroid2,179.6,107.5,1184.7,149.8,180.2,5.7,11.1
247,rpi-8c,153.7,221.8,237.5,187.4,164.5,223.3,116.2
248,rpi-8b,148.7,189.2,0.0,139.9,238.4,188.6,180.6
249,odroid1,249.1,222.0,199.5,2.1,204.1,63.9,141.0
250,rpi-8c,166.7,1.5,539.4,260.5,60.5,161.0,15.8
251,odroid2,2.0,119.9,953.3,71.3,181.0,2.0,201.0
252,rpi-4a,226.6,132.9,166.2,71.1,32.4,197.3,219.5
253,odroid3,54.1,10.3,1313.4,10.3,431.4,168.1,74.4
254,rpi-4a,2.0,185.6,1012.6,2.1,1.0,20.9,193.6
255,rpi-4a,2.0,126.2,1022.7,14.4,38.5,43.2,159.4
256,rpi-8d,33.7,89.8,475.1,271.6,173.8,151.3,75.9
257,odroid1,178.3,138.5,358.8,24.5,262.2,108.3,477.7
258,rpi-8c,57.8,199.7,98.3,2.1,16.5,1.0,97.8
259,rpi-8c,65.2,320.5,0.0,296.4,11.3,230.1,214.8
260,rpi-4a,42.8,182.1,173.6,236.4,362.2,129.7,39.9
261,rpi-8d,27.9,150.6,352.4,533.0,6.1,194.4,28.4
262,rpi-8a,2.0,923.5,225.1,652.4,130.4,1.0,11.1
263,odroid3,241.9,1.5,454.0,226.2,41.8,1.0,425.1
264,rpi-8d,255.6,174.3,68.2,58.5,365.7,150.7,139.4
265,rpi-8d,406.5,439.7,123.0,21.2,207.2,197.0,140.1
266,odroid4,856.2,414.9,403.3,73.6,199.5,197.8,42.1
267,rpi-8b,144.2,103.6,78.3,199.9,24.0,91.7,152.8
268,odroid1,701.4,212.9,261.8,2.1,109.9,175.5,242.1
269,rpi-8c,4.1,271.6,193.3,65.9,44.7,68.3,184.7
270,rpi-8c,2.0,203.9,74.8,432.8,200.3,203.5,185.8
271,odroid1,190.3,123.8,240.0,136.6,69.0,97.9,13.8
272,odroid3,506.8,202.2,106.1,2.1,233.1,477.0,141.3
273,rpi-8b,153.1,192.8,235.6,214.9,184.6,372.9,237.2
274,rpi-8d,158.2,203.7,289.8,160.2,136.4,155.8,157.1
275,odroid3,227.0,1.5,243.1,1227.4,185.7,124.8,52.5
276,odroid2,150.0,1.5,1086.7,595.5,95.0,1.0,122.6
277,rpi-4a,326.1,305.4,158.3,250.3,33.9,12.8,140.2
278,rpi-8c,161.6,259.7,259.0,164.9,12.4,17.7,232.6
279,odroid3,340.5,267.8,44.4,2.1,1091.8,174.4,161.2
280,rpi-8c,6.9,2.6,423.2,142.4,187.3,261.0,135.4
281,rpi-8c,124.5,65.8,159.3,191.9,438.0,43.2,177.5
282,rpi-8a,111.8,94.1,171.6,394.7,127.3,123.6,218.5
283,odroid1,159.0,27.2,187.0,156.4,37.6,1.0,347.5
284,rpi-4a,2.0,149.2,406.2,278.9,19.8,172.1,9.3
285,odroid2,2.0,1.5,124.8,194.1,232.1,1.0,15.0
286,rpi-8c,263.0,240.3,163.9,89.3,136.5,123.5,406.0
287,odroid2,2.0,160.5,374.5,2.1,58.9,179.8,19.8
288,odroid1,19.1,434.9,185.3,21.7,162.7,32.3,178.7
289,rpi-8a,2128.1,143.7,49.6,291.8,190.6,42.5,188.5
290,odroid3,117.6,124.7,171.3,221.4,182.7,67.6,245.4
291,odroid2,21.9,67.8,112.8,195.6,172.7,1.0,219.1
292,odroid2,148.4,161.5,180.2,94.7,21.5,163.3,2.0
293,odroid3,194.1,94.3,0.0,61.4,136.8,1.0,2.0
294,rpi-8c,398.4,187.7,64.3,61.7,146.5,198.7,54.7
295,odroid2,121.5,407.2,579.1,2.1,202.1,240.5,154.4
296,odroid1,197.4,73.9,87.7,260.7,180.6,219.9,167.7
297,rpi-8d,167.7,159.1,286.2,192.6,155.6,198.0,332.9
298,rpi-4a,158.9,182.6,54.1,161.2,90.2,206.7,206.7
299,rpi-4a,88.3,1.5,212.6,363.3,104.1,11.1,143.4
300,rpi-8a,37.2,41.2,150.9,628.1,202.8,2.4,71.1
301,rpi-8a,2.0,245.3,1240.6,98.4,34.0,25.7,238.3
302,odroid2,415.0,135.9,157.0,2.1,58.7,1.0,41.4
303,rpi-4a,269.7,361.4,189.8,2.1,118.1,89.1,33.5
304,rpi-8a,191.9,164.6,215.2,223.5,282.4,198.8,397.7
305,odroid2,137.2,110.2,119.2,227.8,1.0,92.2,2.0
306,rpi-8b,27.8,273.5,365.1,215.6,192.7,178.9,82.8
307,rpi-8d,167.8,103.1,129.6,2.1,129.8,480.7,136.5
308,odroid3,222.1,1.5,153.2,117.2,168.2,177.6,42.4
309,rpi-8d,28.6,182.9,113.4,65.0,225.4,163.6,194.5
310,rpi-8d,2.0,402.8,1019.1,148.6,177.9,50.5,162.1
311,rpi-8a,210.6,188.8,72.8,251.1,218.0,54.3,154.1
312,odroid2,180.0,238.5,276.3,2.1,127.1,128.0,34.1
313,rpi-8d,5.1,117.4,271.0,152.6,1.0,357.4,131.6
314,rpi-8c,156.6,163.5,200.9,174.3,146.3,212.8,16.1
315,rpi-8b,69.9,251.7,154.9,149.5,225.8,99.0,73.5
316,rpi-8a,186.2,198.3,386.8,186.7,82.7,1.0,211.9
317,rpi-8b,203.7,94.5,7.4,253.5,252.1,191.3,185.6
318,rpi-8c,190.5,11.9,484.0,173.8,133.3,112.1,87.5
319,odroid4,98.8,176.7,234.0,187.6,137.9,167.9,470.7
320,rpi-4a,300.3,83.7,398.2,132.1,249.8,202.0,260.2
321,rpi-8d,186.0,196.8,0.0,192.0,400.4,195.2,178.9
322,odroid4,276.4,490.0,0.0,2.1,224.2,156.9,57.5
323,rpi-8b,262.9,144.7,179.4,2.1,1333.1,70.7,83.3
324,rpi-8b,295.1,48.8,235.8,431.9,7.2,174.5,258.2
325,rpi-8c,2.0,193.3,224.5,446.4,24.2,160.7,2.0
326,odroid3,123.8,1.5,1041.3,524.3,279.7,69.3,158.5
327,rpi-4a,2.0,1.5,246.4,30.3,1.0,24.0,113.5
328,rpi-4a,206.7,177.7,235.0,18.9,138.7,211.8,33.7
329,rpi-8d,2.0,297.4,150.8,178.6,136.2,266.3,203.3
330,rpi-8a,47.6,1.5,675.2,377.5,292.9,1.0,5.6
331,rpi-8c,17.4,181.7,201.4,90.2,29.2,1.0,2.0
332,odroid1,41.7,217.3,961.9,36.9,69.2,331.7,52.3
333,odroid4,111.9,145.7,101.4,174.0,301.7,8.9,224.8
334,rpi-8d,144.3,446.3,166.6,259.7,60.0,157.4,84.3
335,odroid1,145.1,155.0,143.3,128.5,170.1,10.8,148.4
336,odroid4,7.4,193.6,27.8,58.5,203.8,42.8,13.5
337,odroid1,98.5,206.3,150.1,182.6,45.4,199.5,263.3
338,rpi-4a,25.9,143.8,1147.3,215.8,1.0,115.4,305.1
339,rpi-8a,65.3,226.8,89.3,229.5,221.3,104.1,305.5
340,rpi-8b,110.7,224.4,142.7,591.5,179.3,176.6,214.3
341,rpi-8b,152.5,1789.1,0.0,149.2,157.9,127.2,196.6
342,odroid3,9.4,138.8,196.5,177.9,1.0,29.5,2.0
343,odroid3,214.5,1525.2,132.3,213.3,206.4,141.1,238.8
344,rpi-4a,214.7,1.5,327.3,226.5,1.0,64.4,162.6
345,odroid1,45.2,89.7,119.0,57.1,228.2,1.0,86.9
346,rpi-8c,19.8,292.4,229.1,218.5,113.3,197.0,195.1
347,rpi-8a,3.3,220.7,166.1,306.5,168.4,186.3,422.9
348,odroid1,223.6,216.5,1251.8,262.2,1.0,3.3,140.4
349,rpi-8d,206.4,1.5,245.8,196.9,107.0,43.7,171.0
350,odroid3,139.2,38.8,210.1,26.8,118.6,10.1,371.6
351,rpi-8b,400.4,237.4,242.5,230.5,119.9,163.8,157.9
352,rpi-8c,554.6,230.8,174.8,1029.1,49.8,407.2,108.2
353,odroid4,2.0,67.3,172.4,2.1,114.9,1.0,89.9
354,rpi-8c,88.3,1.5,1140.4,65.1,259.4,160.3,141.0
355,rpi-4a,162.8,1.5,164.9,120.7,58.0,321.3,182.4
356,odroid2,4.1,12.2,42.7,192.8,116.7,189.9,26.1
357,odroid2,138.9,277.8,228.1,81.1,203.1,231.0,47.9
358,rpi-8d,27.6,74.9,176.6,1448.9,99.1,1.0,162.3
359,rpi-8c,235.7,105.4,129.9,74.4,783.7,433.2,167.0
360,odroid4,2.0,264.0,259.7,198.4,1.0,33.0,28.4
361,rpi-4a,249.1,139.0,159.4,11.8,171.4,1.0,13.4
362,odroid1,239.1,74.9,98.9,218.3,166.3,1.0,452.0
363,odroid1,175.4,169.9,14.2,941.8,2.6,1.0,2.0
364,rpi-8c,86.7,170.0,121.9,96.5,203.6,211.8,253.3
365,rpi-8d,14.1,118.0,1106.2,187.1,158.6,62.8,160.9
366,odroid1,2.0,660.5,1928.5,2.1,199.7,232.3,474.1
367,odroid3,432.2,476.1,73.3,156.0,10.6,358.3,37.7
368,rpi-8d,184.2,42.6,923.4,136.9,148.9,212.6,76.8
369,odroid3,172.3,313.7,205.9,88.8,65.6,303.4,209.4
370,odroid1,10.3,50.1,315.3,614.2,162.3,81.3,207.4
371,rpi-8c,2.0,215.0,941.5,2.1,178.5,208.0,51.5
372,rpi-8a,222.6,194.0,124.6,838.4,249.5,22.8,406.3
373,odroid4,24.8,151.9,0.0,94.6,142.2,447.3,202.2
374,odroid2,2.0,357.2,128.7,89.3,105.8,209.6,6.6
375,odroid4,216.8,133.5,107.4,1513.6,192.8,211.4,121.2
376,rpi-4a,165.3,82.8,1274.5,28.2,210.3,244.6,155.5
377,rpi-8c,282.2,142.0,1570.9,123.3,26.8,333.0,182.8
378,rpi-8d,79.2,152.0,267.3,199.9,1.0,1.0,213.5
379,odroid2,80.3,217.7,0.0,227.8,126.5,1.0,83.9
380,odroid1,163.9,268.5,189.8,188.8,2.8,180.8,110.6
381,odroid2,210.5,179.1,153.2,135.4,241.4,285.1,163.4
382,odroid1,121.1,1.5,137.4,809.7,201.3,205.9,92.7
