,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,label
1242,1602.8,21.9,16.6,19.6,19.3,20.0,19.7,genuine
64,166.0,172.0,169.0,170.0,172.0,171.0,165.0,genuine
84,227.1,233.9,29.7,200.2,216.2,417.7,233.0,genuine
2677,16.7,34.9,63.4,549.5,17.8,17.0,67.1,genuine
3781,145.7,168.1,162.0,191.2,5.3,167.6,311.8,impersonator
2815,17.6,236.7,440.0,-3.6999999999999993,241.4,227.8,426.6,impersonator
1880,249.4,239.60000000000002,455.2,11.3,443.59999999999997,13.8,226.2,impersonator
2864,150.0,336.0,168.0,166.0,9.0,159.0,331.0,genuine
4078,169.0,172.0,176.0,173.0,173.0,175.0,173.0,genuine
1431,230.7,447.0,16.9,232.7,233.1,433.6,16.5,genuine
3854,231.29999999999998,220.7,454.3,24.200000000000003,212.2,255.9,446.9,impersonator
4313,32.2,193.7,205.7,220.5,420.5,242.5,235.0,impersonator
2820,0.5,8.1,138.7,1031.0,18.5,39.5,2.0,impersonator
2697,181.0,172.0,157.0,172.0,168.0,168.0,170.0,genuine
797,28.6,9.9,662.1999999999999,20.2,240.29999999999998,213.8,458.8,impersonator
2028,177.1,173.6,174.6,181.2,185.7,158.3,165.2,impersonator
2058,161.1,142.2,155.4,187.5,144.2,175.8,188.2,impersonator
2925,170.0,174.0,174.0,173.0,173.0,173.0,174.0,genuine
4265,151.9,178.1,3.0,172.6,344.8,162.7,163.8,impersonator
2000,13.8,14.2,233.5,213.2,212.2,219.7,407.7,impersonator
361,62.4,2433.2,17.3,19.9,17.0,18.5,18.6,genuine
963,176.7,204.0,173.4,164.4,178.3,16.9,181.1,impersonator
2396,15.0,20.2,1199.9,18.4,17.0,18.7,17.8,genuine
1429,35.1,107.2,890.1,1923.0,17.1,17.0,64.7,genuine
4351,17.6,10.299999999999999,367.2,641.2,19.1,31.299999999999997,33.099999999999994,impersonator
3126,170.3,162.6,199.8,191.7,194.8,173.1,164.1,impersonator
1041,15.1,123.7,58.9,77.3,71.9,33.8,808.9,genuine
3951,166.0,191.0,153.0,169.0,171.0,170.0,170.0,genuine
3367,6.300000000000001,39.2,1767.8999999999999,6.0,12.0,16.2,30.2,impersonator
377,165.0,169.0,167.0,166.0,166.0,165.0,168.0,genuine
3000,168.7,181.4,150.4,193.6,183.0,149.2,166.9,impersonator
717,39.8,2.200000000000003,528.3,1254.8000000000002,7.700000000000001,1.6000000000000014,29.5,impersonator
3817,176.8,188.4,162.5,195.9,178.5,164.2,169.8,impersonator
2861,164.0,178.0,154.0,170.0,169.0,12.0,167.0,genuine
266,170.0,173.0,176.0,173.0,172.0,174.0,173.0,genuine
3529,20.0,14.8,1008.2,23.4,14.9,18.2,19.0,genuine
1460,186.7,181.9,153.1,193.6,188.4,161.4,185.1,impersonator
1179,23.7,218.5,225.9,253.2,230.6,210.4,23.299999999999997,impersonator
4493,164.0,169.0,168.0,170.0,168.0,169.0,170.0,genuine
2490,-9.999999999999998,208.2,452.8,39.6,228.6,236.60000000000002,430.8,impersonator
4465,164.0,167.0,169.0,166.0,166.0,166.0,167.0,genuine
1595,16.5,227.3,233.3,433.1,16.6,233.2,233.4,genuine
1449,230.7,430.0,16.6,433.0,16.5,233.0,233.2,genuine
874,15.5,16.6,1195.0,18.0,16.6,16.6,17.1,genuine
982,166.0,171.0,170.0,170.0,172.0,170.0,167.0,genuine
2049,230.3,433.4,16.4,233.2,16.3,216.6,200.0,genuine
3449,169.0,175.0,174.0,173.0,174.0,173.0,173.0,genuine
4282,-10.200000000000001,240.1,196.9,216.8,423.3,211.8,413.6,impersonator
399,428.6,37.6,-4.0,9.5,90.80000000000001,1729.5,-1.8999999999999986,impersonator
3108,168.9,176.4,166.3,179.5,186.9,181.6,189.5,impersonator
2317,1.9000000000000021,1693.4,26.9,37.8,433.5,35.599999999999994,13.7,impersonator
1474,17.8,18.6,975.3,632.6,17.9,17.0,19.4,genuine
938,167.0,171.0,169.0,173.0,171.0,169.0,167.0,genuine
2589,167.0,172.0,171.0,171.0,171.0,172.0,165.0,genuine
2765,14.0,229.7,432.3,16.5,231.7,233.2,433.4,genuine
553,165.0,166.0,168.0,167.0,167.0,167.0,168.0,genuine
2114,60.9,44.4,75.5,96.1,32.0,160.2,35.4,genuine
2372,165.0,167.0,168.0,16.0,150.0,333.0,168.0,genuine
1793,171.0,174.0,174.0,174.0,174.0,173.0,174.0,genuine
4478,204.6,451.0,223.3,441.09999999999997,31.900000000000002,219.0,220.8,impersonator
597,22.8,20.0,20.2,14.7,584.6,18.7,19.0,genuine
4111,17.4,20.2,1583.8,16.5,23.4,18.7,20.1,genuine
1988,170.0,171.0,169.0,172.0,171.0,172.0,169.0,genuine
469,33.2,23.4,968.0,626.0,5.600000000000001,-0.6999999999999993,27.5,impersonator
1343,203.29999999999998,213.8,30.599999999999998,208.89999999999998,203.5,425.6,14.4,impersonator
2120,161.1,179.8,177.8,195.1,176.3,161.9,165.5,impersonator
2089,51.8,1720.0,20.2,20.5,19.3,20.1,20.3,genuine
2798,169.0,175.0,173.0,172.0,173.0,174.0,175.0,genuine
2359,16.3,812.9,15.1,17.8,18.7,18.7,18.8,genuine
159,186.4,198.4,157.3,148.8,197.6,169.9,151.1,impersonator
1712,20.7,16.1,970.9,632.2,21.0,17.5,22.4,genuine
3627,174.89999999999998,214.3,408.90000000000003,54.3,202.4,210.0,218.0,impersonator
1803,185.6,176.1,188.9,148.9,157.0,157.6,198.6,impersonator
1962,485.7,46.2,248.2,243.6,450.4,32.4,232.7,genuine
1691,29.1,453.7,22.9,241.0,234.20000000000002,230.2,444.9,impersonator
2507,159.3,177.5,157.4,162.1,156.5,165.7,154.9,impersonator
3355,13.1,14.0,957.9,834.4,22.3,17.3,19.0,genuine
1479,163.0,168.0,165.0,168.0,167.0,167.0,168.0,genuine
640,184.7,169.6,186.7,193.8,178.1,176.0,191.2,impersonator
67,168.0,170.0,169.0,173.0,171.0,171.0,168.0,genuine
4405,381.7,17.6,59.1,99.8,34.6,40.7,88.0,genuine
2260,114.5,52.8,59.900000000000006,54.599999999999994,56.9,39.400000000000006,98.2,impersonator
1454,16.8,420.7,17.1,232.2,233.1,231.9,216.7,genuine
1753,29.2,46.9,16.6,2095.4,18.7,17.9,17.9,genuine
2147,164.0,179.0,154.0,172.0,170.0,170.0,169.0,genuine
3275,143.2,163.3,185.9,163.4,191.3,179.2,154.9,impersonator
3300,181.0,177.0,155.0,170.0,169.0,13.0,166.0,genuine
1071,173.3,195.7,167.8,152.4,190.1,155.4,155.4,impersonator
2845,164.0,186.0,156.0,171.0,170.0,171.0,169.0,genuine
1264,16.9,17.4,1414.3,18.0,16.1,21.1,17.2,genuine
2629,15.9,17.0,17.2,18.6,957.3,838.8,18.8,genuine
892,15.399999999999999,38.099999999999994,-6.0,1144.8999999999999,15.3,25.3,34.4,impersonator
1719,173.0,173.0,175.0,173.0,173.0,174.0,174.0,genuine
625,166.0,173.0,168.0,171.0,172.0,172.0,164.0,genuine
1889,20.7,13.400000000000002,779.9000000000001,860.2,28.1,8.399999999999999,6.699999999999999,impersonator
573,231.1,14.4,215.2,416.9,233.2,433.5,16.8,genuine
3994,210.0,211.4,206.6,630.8,3.5,243.20000000000002,37.4,impersonator
4452,16.3,17.0,1186.6,16.1,17.8,18.0,17.8,genuine
366,227.0,450.4,31.5,232.7,232.4,451.0,15.3,genuine
1253,171.0,184.0,162.0,175.0,171.0,174.0,172.0,genuine
2404,17.1,19.0,20.2,21.3,581.0,17.8,19.2,genuine
812,179.3,156.3,186.7,169.4,196.0,165.3,154.4,impersonator
2813,165.6,169.4,168.7,158.5,195.1,157.8,186.6,impersonator
461,164.0,186.0,156.0,171.0,171.0,171.0,169.0,genuine
2573,17.1,16.7,1579.1,18.8,16.5,17.7,18.8,genuine
752,17.3,11.2,214.8,433.5,233.2,233.2,432.9,genuine
2273,204.3,230.4,248.29999999999998,239.3,415.7,28.0,230.1,impersonator
994,171.0,195.0,156.0,178.0,3.0,180.0,342.0,genuine
2182,169.0,172.0,169.0,171.0,171.0,171.0,166.0,genuine
1450,26.1,17.5,767.8,399.59999999999997,24.3,36.7,16.5,impersonator
2391,2487.9,16.9,19.6,17.1,18.9,74.2,33.8,genuine
773,5.099999999999998,393.7,24.9,70.8,93.10000000000001,66.8,80.8,impersonator
4394,14.5,12.7,213.5,216.4,199.7,416.9,232.7,genuine
110,164.0,169.0,166.0,165.0,167.0,166.0,168.0,genuine
4459,169.0,174.0,174.0,173.0,173.0,171.0,173.0,genuine
466,144.6,150.3,168.1,189.4,181.6,183.0,152.8,impersonator
50,29.700000000000003,2108.3999999999996,26.900000000000002,31.6,412.1,41.3,-3.6999999999999993,impersonator
2458,161.9,187.8,147.4,185.1,170.6,169.1,168.7,impersonator
4465,160.9,184.6,155.2,187.6,169.7,152.7,152.3,impersonator
2661,164.0,168.0,166.0,165.0,167.0,165.0,169.0,genuine
1942,222.2,474.0,32.699999999999996,221.79999999999998,236.0,462.0,17.400000000000002,impersonator
1354,16.4,20.2,1346.7,633.7,21.5,16.4,18.3,genuine
2203,164.0,165.0,168.0,166.0,166.0,166.0,168.0,genuine
369,169.0,177.1,189.8,168.5,173.1,170.4,158.0,impersonator
566,-1.1999999999999993,616.0,20.0,10.3,50.900000000000006,2217.2,-8.7,impersonator
1042,14.7,18.9,969.0,630.7,16.0,16.6,16.6,genuine
2321,176.3,169.8,151.8,170.5,154.3,181.7,162.6,impersonator
1789,169.8,158.7,157.9,165.1,165.9,150.1,192.9,impersonator
809,18.2,15.6,26.7,64.3,698.4,18.7,18.3,genuine
1236,13.8,-6.100000000000001,622.1,226.5,23.700000000000003,17.9,19.6,impersonator
2323,1533.3,19.3,14.9,630.6,18.4,14.8,17.6,genuine
1894,29.2,12.899999999999999,220.0,206.1,201.2,227.6,403.2,impersonator
992,164.0,168.0,167.0,167.0,168.0,167.0,167.0,genuine
817,167.0,170.0,169.0,171.0,172.0,171.0,165.0,genuine
2168,1398.8,37.7,-3.299999999999997,7.400000000000002,30.599999999999998,6.4,16.2,impersonator
3934,18.0,20.9,21.6,947.2,627.9,21.3,21.5,genuine
2213,17.5,5.199999999999999,-0.40000000000000213,761.1999999999999,7.599999999999998,9.9,31.700000000000003,impersonator
303,13.3,231.8,433.4,16.2,233.2,232.8,433.2,genuine
1417,56.9,1911.1,253.6,20.9,20.1,40.1,77.8,genuine
722,141.2,151.3,160.5,162.1,179.5,174.1,188.7,impersonator
1985,-2.0,25.0,961.3,638.6999999999999,26.700000000000003,12.100000000000001,21.0,impersonator
1999,-6.599999999999998,1865.3,6.0,3.9000000000000004,15.7,833.5999999999999,39.7,impersonator
2289,167.0,171.0,168.0,170.0,171.0,173.0,166.0,genuine
2668,1213.4,17.8,17.6,18.1,18.3,2271.2,17.9,genuine
717,16.0,19.6,547.3,1256.9,17.8,18.1,18.5,genuine
1529,33.900000000000006,22.700000000000003,204.7,214.2,214.9,226.7,431.59999999999997,impersonator
2525,17.7,70.7,56.0,89.0,2009.6,19.8,17.4,genuine
285,171.0,172.0,173.0,177.0,173.0,173.0,172.0,genuine
2767,227.1,448.1,31.1,234.2,233.2,449.8,16.9,genuine
2635,115.8,157.3,327.6,28.8,183.0,165.1,159.6,impersonator
671,32.2,459.7,3.200000000000003,256.2,445.8,251.3,40.8,impersonator
3368,164.0,170.0,166.0,167.0,165.0,169.0,168.0,genuine
3761,215.4,413.6,232.5,16.2,217.9,415.7,232.9,genuine
526,14.4,15.7,1591.1,27.2,15.1,632.6,19.0,genuine
1464,170.0,174.0,173.0,174.0,172.0,173.0,173.0,genuine
2692,164.0,174.0,155.0,172.0,171.0,170.0,168.0,genuine
4093,30.0,70.1,82.8,1462.1000000000001,26.4,38.6,10.3,impersonator
213,162.9,172.2,152.5,184.3,169.8,153.0,155.1,impersonator
3893,172.0,173.0,174.0,173.0,174.0,173.0,174.0,genuine
3736,227.6,232.2,232.7,232.5,450.6,15.8,233.5,genuine
3391,14.9,18.9,336.9,1046.1,19.2,17.0,15.8,genuine
1591,172.0,172.0,174.0,174.0,174.0,173.0,174.0,genuine
1751,18.0,21.8,376.7,629.3,20.2,20.5,20.2,genuine
4481,13.4,232.2,233.0,233.0,233.0,233.3,16.3,genuine
3790,7.0,325.0,334.0,166.0,167.0,168.0,166.0,genuine
2606,164.0,178.0,156.0,172.0,169.0,169.0,170.0,genuine
4107,15.7,17.9,18.1,948.7,17.9,18.4,18.4,genuine
4108,173.7,183.8,155.8,166.3,169.9,18.5,142.4,impersonator
614,169.5,161.0,173.2,143.6,189.3,157.6,183.5,impersonator
2010,451.0,24.700000000000003,219.2,209.7,452.70000000000005,29.6,210.7,impersonator
1855,231.0,221.9,423.8,18.6,244.5,249.4,432.5,impersonator
1177,15.3,18.4,49.4,1548.8,16.4,18.2,17.6,genuine
1662,170.6,183.6,177.2,157.4,187.3,142.5,178.9,impersonator
1742,115.3,944.4000000000001,30.5,20.3,-7.100000000000001,28.9,2028.0,impersonator
4252,13.4,35.1,32.9,28.6,790.2,17.7,-4.300000000000001,impersonator
617,36.5,32.3,968.4,17.9,-4.700000000000003,26.299999999999997,28.6,impersonator
392,185.9,189.9,156.7,152.3,167.2,178.0,168.3,impersonator
3995,174.7,162.6,169.5,185.9,142.4,190.7,166.1,impersonator
3387,33.0,1802.1,16.6,20.5,20.1,20.1,19.9,genuine
3970,19.6,20.1,390.6,207.8,20.8,18.0,18.8,genuine
1316,182.0,170.0,157.0,171.0,169.0,14.0,166.0,genuine
2119,196.3,215.0,418.1,232.2,16.3,216.4,419.4,genuine
974,179.5,150.5,193.4,154.7,185.7,143.3,146.4,impersonator
3044,165.0,168.0,169.0,166.0,166.0,168.0,168.0,genuine
627,167.0,186.0,3.0,169.0,13.0,316.0,333.0,genuine
1405,230.3,232.7,233.1,433.1,16.7,232.6,233.5,genuine
1371,165.0,167.0,167.0,167.0,169.0,167.0,166.0,genuine
1049,188.0,224.9,105.4,142.3,171.8,197.8,167.0,impersonator
1568,208.8,432.6,34.5,247.8,256.0,242.7,473.4,impersonator
3134,167.3,150.9,164.4,193.2,195.2,152.6,193.7,impersonator
4294,428.9,16.0,233.4,233.1,16.4,216.1,417.1,genuine
896,413.2,231.1,451.1,29.2,234.6,233.3,233.0,genuine
3160,167.0,194.0,150.0,170.0,171.0,171.0,10.0,genuine
3289,32.4,1948.3,16.5,-8.8,215.2,30.0,14.1,impersonator
4139,167.0,173.0,168.0,173.0,170.0,171.0,164.0,genuine
3320,240.6,217.1,436.3,19.3,424.20000000000005,32.1,254.0,impersonator
3044,176.9,175.2,169.1,158.6,146.5,178.5,172.8,impersonator
568,167.0,188.0,157.0,170.0,168.0,170.0,169.0,genuine
4474,417.6,228.0,16.3,216.4,199.9,433.4,233.2,genuine
3540,195.1,210.0,436.20000000000005,248.5,471.2,28.1,232.7,impersonator
48,17.2,16.5,24.8,956.9,17.7,16.4,17.8,genuine
3188,184.3,167.7,161.3,158.8,171.4,157.6,183.0,impersonator
2875,-1.9000000000000004,32.4,784.6,622.8,11.399999999999999,16.6,439.6,impersonator
3706,-1.0999999999999979,16.0,4.299999999999997,1776.6,19.0,0.7000000000000011,1.7000000000000028,impersonator
1230,17.8,1887.5,19.9,52.6,96.0,69.7,20.3,genuine
1344,15.8,1169.2,631.7,15.5,18.0,17.8,18.6,genuine
2176,225.2,431.5,16.8,233.2,233.3,432.8,16.6,genuine
487,170.0,173.0,174.0,174.0,174.0,184.0,167.0,genuine
1776,226.7,233.0,233.0,232.7,233.5,232.8,233.3,genuine
2511,232.5,429.2,16.0,233.1,233.6,433.1,16.7,genuine
905,190.9,157.1,186.5,157.4,176.3,147.1,189.3,impersonator
3446,-4.9,31.5,1144.8000000000002,628.0,10.0,34.8,14.7,impersonator
56,161.8,148.2,177.2,156.4,191.2,160.0,171.0,impersonator
946,-4.1,1394.4,24.6,222.2,35.3,6.299999999999999,811.0,impersonator
4284,230.3,229.9,447.8,20.1,9.6,200.8,220.70000000000002,impersonator
357,197.6,165.9,188.8,173.2,165.6,181.1,174.3,impersonator
208,12.5,235.7,232.7,232.3,434.6,15.3,233.7,genuine
3671,166.0,169.0,169.0,169.0,168.0,168.0,170.0,genuine
198,214.1,415.6,232.9,232.3,434.3,15.5,234.1,genuine
2029,426.2,-6.299999999999999,216.4,251.0,440.79999999999995,-4.699999999999999,252.5,impersonator
4495,165.0,172.0,171.0,170.0,172.0,169.0,166.0,genuine
1728,166.0,167.0,168.0,167.0,167.0,166.0,169.0,genuine
1011,172.0,173.0,172.0,173.0,174.0,173.0,173.0,genuine
4021,181.0,148.3,182.7,179.1,144.3,143.8,179.2,impersonator
3036,153.2,172.2,165.3,152.5,153.2,193.3,190.8,impersonator
2108,-1.8000000000000007,538.3,-7.0,25.5,55.699999999999996,80.7,76.9,impersonator
2101,158.9,175.5,153.0,173.2,161.8,175.4,158.7,impersonator
2789,164.0,166.0,167.0,165.0,164.0,168.0,166.0,genuine
3703,17.9,18.1,982.7,630.5,27.3,18.5,21.3,genuine
2193,168.0,188.0,154.0,171.0,168.0,11.0,167.0,genuine
3162,166.0,171.0,171.0,172.0,173.0,171.0,166.0,genuine
1991,165.0,169.0,165.0,167.0,167.0,169.0,168.0,genuine
2933,16.3,16.6,770.9,626.5,17.2,17.5,17.8,genuine
1444,442.0,5.299999999999999,256.4,226.8,236.9,11.5,203.7,impersonator
2800,177.1,170.5,163.6,183.5,189.0,15.7,153.8,impersonator
416,167.0,169.0,170.0,170.0,168.0,171.0,167.0,genuine
1931,158.3,172.9,170.7,151.7,196.0,164.4,151.3,impersonator
2723,40.800000000000004,1660.9,12.600000000000001,20.7,64.9,806.7,8.5,impersonator
75,225.0,243.79999999999998,410.6,32.5,244.8,13.899999999999999,215.1,impersonator
4208,12.6,432.8,12.4,233.2,233.3,233.4,16.1,genuine
1531,172.4,190.8,169.9,150.0,153.7,167.0,179.5,impersonator
4295,191.6,171.8,165.7,171.9,173.1,155.1,147.8,impersonator
4378,6.000000000000002,23.3,778.6999999999999,640.7,37.2,410.7,25.6,impersonator
9,-4.100000000000001,746.6999999999999,36.4,17.7,26.700000000000003,42.0,48.99999999999999,impersonator
2504,172.7,162.2,155.6,151.9,155.1,169.3,177.9,impersonator
1464,188.8,160.0,192.7,165.8,165.0,169.5,176.4,impersonator
409,169.0,173.0,173.0,172.0,173.0,173.0,174.0,genuine
1083,188.4,183.7,178.8,171.0,151.1,163.2,156.8,impersonator
2266,779.3,626.9,20.9,16.9,16.4,17.4,18.7,genuine
2217,170.0,173.0,174.0,174.0,172.0,172.0,173.0,genuine
1045,170.0,174.0,168.0,172.0,171.0,171.0,165.0,genuine
1573,17.3,1386.0,422.9,23.0,34.900000000000006,11.099999999999998,-3.3999999999999986,impersonator
944,240.9,241.9,421.09999999999997,22.6,222.7,-0.09999999999999787,210.3,impersonator
1241,232.0,429.6,16.9,432.8,17.1,15.8,216.2,genuine
87,15.2,149.9,837.1,17.2,18.0,18.5,18.2,genuine
1108,189.7,172.9,185.8,175.0,175.2,172.6,171.0,impersonator
1776,215.2,222.7,239.3,227.6,217.3,226.10000000000002,222.8,impersonator
1373,210.2,438.8,-3.0,220.3,38.2,226.29999999999998,184.9,impersonator
1532,-6.899999999999999,151.9,313.5,181.5,145.4,149.8,167.9,impersonator
180,170.0,174.0,174.0,172.0,173.0,172.0,175.0,genuine
71,166.0,189.0,154.0,171.0,169.0,11.0,167.0,genuine
3037,164.0,168.0,167.0,165.0,167.0,166.0,168.0,genuine
19,17.1,19.0,17.6,963.3,18.5,19.1,19.2,genuine
1309,13.2,432.8,16.2,233.2,233.4,433.4,16.7,genuine
1455,221.0,239.6,217.0,420.59999999999997,418.1,11.3,412.1,impersonator
2821,157.2,170.0,156.8,175.0,150.2,188.9,174.4,impersonator
3133,399.3,420.6,15.5,17.8,17.4,17.8,17.8,genuine
1693,161.0,180.0,154.4,174.7,184.6,170.2,144.6,impersonator
3887,23.400000000000002,20.099999999999998,42.1,6.800000000000001,49.50000000000001,56.5,45.9,impersonator
2209,170.0,172.0,174.0,172.0,171.0,173.0,173.0,genuine
604,156.0,334.0,165.0,167.0,169.0,168.0,169.0,genuine
4047,-11.899999999999999,191.8,233.5,225.9,430.9,208.8,442.2,impersonator
3922,170.0,175.0,174.0,172.0,174.0,175.0,173.0,genuine
4479,205.0,140.0,153.0,170.0,171.0,11.0,169.0,genuine
593,164.0,167.0,167.0,168.0,168.0,167.0,167.0,genuine
3163,230.1,453.6,231.6,16.1,233.3,450.0,16.0,genuine
1631,166.0,168.0,167.0,167.0,167.0,169.0,168.0,genuine
511,171.0,171.0,173.0,172.0,171.0,174.0,174.0,genuine
3982,241.6,181.29999999999998,206.3,194.7,186.8,423.3,7.100000000000001,impersonator
1696,184.6,174.0,156.1,148.6,182.6,160.1,167.4,impersonator
1523,39.900000000000006,25.4,34.9,961.3,629.6999999999999,17.3,29.0,impersonator
600,164.0,180.0,155.0,170.0,170.0,169.0,169.0,genuine
3776,164.0,167.0,166.0,16.0,151.0,332.0,168.0,genuine
2958,163.0,176.0,155.0,172.0,169.0,168.0,169.0,genuine
2658,12.600000000000001,8.599999999999998,786.3,440.4,-5.0,17.099999999999998,12.399999999999999,impersonator
2702,113.0,1146.3999999999999,19.7,40.599999999999994,37.9,47.699999999999996,19.9,impersonator
2983,166.0,169.7,137.5,193.3,185.5,-2.0,164.3,impersonator
3810,139.4,199.0,128.3,183.2,191.3,159.0,154.3,impersonator
2797,157.7,191.1,154.4,165.2,157.1,185.5,157.5,impersonator
276,166.1,190.6,31.6,156.8,336.7,188.8,147.1,impersonator
540,19.3,18.7,979.6,420.9,21.2,641.4,28.2,genuine
1469,-0.3000000000000007,220.9,231.5,421.1,34.400000000000006,256.2,226.5,impersonator
